Breast	200	Trastuzumab (IV) Monotherapy 21 days
Breast	201	Trastuzumab (IV) Monotherapy 7 days
Breast	202	DOCEtaxel Monotherapy 100mg/m2 – 21 day cycle
Breast	203	DOCEtaxel Monotherapy 75mg/m2 – 21 day cycle
Breast	204	Pertuzumab + Trastuzumab + DOCEtaxel
Breast	205	Pegylated Liposomal DOXOrubicin 50mg/m2 (CAELYX) ® 28 days
Breast	206	Trastuzumab Emtansine (Kadcyla®) - 21 days
Breast	212	Bevacizumab 10mg/kg-14days
Breast	215	Bevacizumab 15mg/kg - 21 days
Breast	216	Capecitabine Monotherapy
Breast	217	Lapatinib and Capecitabine
Breast	226	PACLitaxel Monotherapy 80mg/m2 Day 1, 8, 15 and 22 – 28 Day
Breast	228	EriBULlin Monotherapy
Breast	230	Nab-PACLitaxel (Abraxane) Monotherapy-21 day cycle
Breast	232	Intravenous Vinorelbine Monotherapy-21day
Breast	250	DOCEtaxel /Cyclophosphamide (TC) Therapy-21 day
Breast	251	CARBOplatin (AUC4-6) Monotherapy-28 days
Breast	252	DOXOrubicin and Cyclophosphamide (AC 60/600) Therapy-21 day
Breast	253	Tamoxifen Monotherapy
Breast	254	Anastrozole Monotherapy
Breast	258	DOCEtaxel, CARBOplatin and Trastuzumab (TCH) - 21 days
Breast	259	Oral Vinorelbine Monotherapy-7days
Breast	260	DOXOrubicin, Cyclophosphamide (AC 60/600) 21 day followed by weekly PACLitaxel (80) Therapy (AC-T)
Breast	261	CARBOplatin (AUC4-6) Monotherapy-21 days
Breast	262	epiRUBicin 90 + Cyclophosphamide (EC90) Therapy - 21 day
Breast	263	epiRUBicin 75 + Cyclophosphamide (EC75) Therapy - 21 day
Breast	265	5-Fluorouracil, epiRUBicin 100 and Cyclophosphamide (FEC 100) Therapy
Breast	269	5-Fluorouracil, epiRUBicin 50 and Cyclophosphamide (FEC50) Therapy
Breast	272	Trastuzumab Subcutaneous 21 days- Metastatic Breast Carcinoma
Breast	278	Dose Dense DOXOrubicin, Cyclophosphamide (AC 60/600) 14 day followed by PACLitaxel (175) 14 day Therapy (DD AC-T)
Breast	285	Trastuzumab SC 21 days-Early Breast Cancer
Breast	316	Dose Dense DOXOrubicin, Cyclophosphamide (AC 60/600) 14 day followed by PACLitaxel (175) 14 day and Trastuzumab Therapy (DD AC-TH)
Breast	322	Everolimus and Exemestane Therapy
Breast	348	CARBOplatin (AUC6) and Weekly PACLitaxel 80mg/m2 followed by Dose Dense DOXOrubicin Cyclophosphamide Therapy-Triple Negative Breast Cancer Therapy
Breast	350	pertuzumab and trastuzumab and chemotherapy -21 day cycles
Breast	361	Fulvestrant Therapy
Breast	371	Letrozole Monotherapy
Breast	376	Exemestane Monotherapy
Breast	377	Cylophosphamide (Oral) Methotrexate and 5-Fluorouracil (CMF) Therapy
Breast	378	Cylophosphamide (IV) Methotrexate and 5-Fluorouracil (CMF) 28 Day Therapy
Breast	381	Cylophosphamide (IV) Methotrexate and 5-Fluorouracil (CMF) 21 Day Therapy
Breast	414	Palbociclib Therapy-28 day
Breast	423	DOXOrubicin 50mg/m2/DOCEtaxel 75mg/m2(AT 50/75) Therapy - 21 day cycle
Breast	430	Gemcitabine and CARBOplatin (AUC2) THERAPY - 21 days
Breast	432	DOXOrubicin, Cyclophosphamide (AC 60/600) 21 day followed by weekly PACLitaxel (80) and weekly Trastuzumab Therapy (AC-TH)
Breast	433	Dose Dense DOXOrubicin, Cyclophosphamide (AC 60/600) 14 day followed by weekly PACLitaxel (80) and weekly Trastuzumab Therapy (AC-TH)
Breast	485	Dose Dense DOXOrubicin, Cyclophosphamide (AC 60/600) 14 day followed by PACLitaxel (80) 7 day Therapy (DD AC-T)
Breast	507	Pertuzumab Trastuzumab and Weekly PACLitaxel Therapy - 21 day cycle
Breast	512	PACLitaxel (80) and Trastuzumab Therapy – 7 day (12 weeks)
Breast	525	Ribociclib Therapy-28 day
Breast	526	Pertuzumab Trastuzumab and VinORELBine
Breast	545	Zoledronic acid monotherapy
Breast	605	Talazoparib Therapy
Breast	621	PACLitaxel 80mg/m2 Day 1, 8 and 15 Monotherapy-28 Day
Breast	659	Trastuzumab Emtansine (Kadcyla®) Early Breast Cancer Therapy- 21 days
Breast	688	Atezolizumab and nab-PACLitaxel Therapy
Breast	726	Pertuzumab and Trastuzumab Therapy
Breast	722	DOCEtaxel, CARBOplatin, Trastuzumab and Pertuzumab (TCHP) Therapy
Breast	731	DOCEtaxel, CARBOplatin, Trastuzumab(S/C) and Pertuzumab (TCHP) Therapy
Breast	736	Nab-PACLitaxel (Abraxane) Monotherapy-21 day cycle
Breast	738	Bevacizumab 10mg/kg and PACLitaxel 80mg/m2 Therapy
Breast	743	eriBULin Monotherapy – 28 Day
Breast	745	Dose Dense Doxorubicin, Cyclophosphamide (AC 60/600) 14 day followed by weekly PACLitaxel (80) and Trastuzumab 21 day Therapy (DD AC-TH)
Breast	775	Pertuzumab, Trastuzumab, PACLitaxel and CARBOplatin Therapy (TRAIN-2)
Breast	785	Pertuzumab and Trastuzumab (Phesgo®) Maintenance Therapy
Breast	789	DOCEtaxel, CARBOplatin and Pertuzumab/Trastuzumab (Phesgo®)(TCHP) Therapy
Breast	790	Pertuzumab/Trastuzumab (Phesgo®), PACLitaxel and CARBOplatin Therapy (TRAIN-2)
Breast	796	Pertuzumab and Trastuzumab (Phesgo®) and DOCEtaxel Therapy - 21 day cycle
Breast	797	Pertuzumab/Trastuzumab (Phesgo®) and Weekly PACLitaxel Therapy - 21 day cycle
Gastrointestinal	203	DOCEtaxel Monotherapy 75mg/m2 – 21 day cycle
Gastrointestinal	207	Cetuximab Monotherapy-7 days
Gastrointestinal	209	Modified FOLFOX-6 Therapy-14 day
Gastrointestinal	210	FOLFOX-4 Therapy-14 day
Gastrointestinal	212	Bevacizumab 10mg/kg-14days
Gastrointestinal	213	Irinotecan Monotherapy - 21 days
Gastrointestinal	214	Bevacizumab 7.5mg/kg-21days
Gastrointestinal	215	Bevacizumab 15mg/kg - 21 days
Gastrointestinal	216	Capecitabine Monotherapy
Gastrointestinal	225	Panitumumab 6mg/kg Therapy
Gastrointestinal	226	PACLitaxel Monotherapy 80mg/m2 7day
Gastrointestinal	227	FOLFIRI Therapy-14 day
Gastrointestinal	235	CISplatin and Teysuno-28 day cycle
Gastrointestinal	238	Aflibercept-14 days
Gastrointestinal	239	epiRUBicin, Oxaliplatin and Capecitabine (EOX) Therapy
Gastrointestinal	240	epiRUBicin, CISplatin and 5-FU (ECF) Therapy
Gastrointestinal	244	Regorafenib Monotherapy
Gastrointestinal	256	Nab-PACLitaxel (Abraxane®) and Gemcitabine – 28 day
Gastrointestinal	283	Gemcitabine (1000mg/m2) Monotherapy - 56 day
Gastrointestinal	284	Gemcitabine (1000mg/m2) Monotherapy - 28 day
Gastrointestinal	294	Sorafenib Therapy
Gastrointestinal	321	Capecitabine/Oxaliplatin (XELOX) Therapy
Gastrointestinal	328	FOLFIRI (14 days)+ Cetuximab (7 days) Therapy
Gastrointestinal	329	FOLFIRINOX Therapy
Gastrointestinal	330	Cetuximab (7 days) and Irinotecan (14 days) Therapy
Gastrointestinal	331	Cetuximab (14 days) and Irinotecan (14 days) Therapy
Gastrointestinal	344	FLOT Therapy-14 day
Gastrointestinal	380	epiRUBicin, CISplatin and Capecitabine (ECX) Therapy
Gastrointestinal	382	Trifluridine and Tipiracil (Lonsurf®) Therapy
